2026-05-16 23:13:48.279501 | idioma: pt | pergunta: elefante | voucher: ZOO97767
2026-05-16 23:13:50.792342 | idioma: pt | pergunta: leão | voucher: ZOO97738
2026-05-16 23:13:53.235402 | idioma: pt | pergunta: tigre | voucher: ZOO04691
2026-05-16 23:13:56.749393 | idioma: pt | pergunta: zebra | voucher: ZOO64812
2026-05-16 23:14:02.440800 | idioma: pt | pergunta: arara | voucher: ZOO61108
2026-05-16 23:15:59.244953 | idioma: en | pergunta: elefante    | voucher: ZOO85980
2026-05-16 23:16:02.518769 | idioma: en | pergunta: tigre    | voucher: ZOO63282
2026-05-16 23:16:05.566147 | idioma: en | pergunta: zebra    | voucher: ZOO94886
2026-05-16 23:29:02.988378 | idioma: pt | pergunta: elefante | voucher: ZOO77122
2026-05-16 23:29:07.059239 | idioma: pt | pergunta: tigre | voucher: ZOO45088
2026-05-16 23:29:10.985690 | idioma: pt | pergunta: leão | voucher: ZOO83210
2026-05-16 23:29:15.016531 | idioma: pt | pergunta: zebra | voucher: ZOO60284
2026-05-16 23:29:23.677562 | idioma: en | pergunta: girafa | voucher: ZOO56633
2026-05-16 23:29:27.230982 | idioma: en | pergunta: tigre | voucher: ZOO32474
2026-05-16 23:29:40.059190 | idioma: en | pergunta: arara | voucher: ZOO84653
2026-05-16 23:29:44.208968 | idioma: en | pergunta: leão | voucher: ZOO04081
2026-05-16 23:35:29.483538 | idioma: en | pergunta: elefante | voucher: ZOO44275
2026-05-16 23:35:31.855324 | idioma: en | pergunta: tigre | voucher: ZOO53660
2026-05-16 23:35:34.885012 | idioma: en | pergunta: zebra | voucher: ZOO10869
2026-05-16 23:41:31.155260 | idioma: pt | pergunta: elefante | voucher: ZOO49227
2026-05-16 23:41:33.669846 | idioma: pt | pergunta: tigre | voucher: ZOO24439
2026-05-16 23:41:36.468285 | idioma: pt | pergunta: leão | voucher: ZOO92341
2026-05-16 23:41:39.814940 | idioma: pt | pergunta: zebra | voucher: ZOO09061
2026-05-16 23:41:43.534823 | idioma: pt | pergunta: arara | voucher: ZOO86703
2026-05-16 23:41:49.462913 | idioma: pt | pergunta: elefante | voucher: ZOO69095
2026-05-16 23:42:02.732228 | idioma: en | pergunta: leão | voucher: ZOO18238
2026-05-16 23:42:15.823633 | idioma: en | pergunta: girafa | voucher: ZOO52041
2026-05-16 23:42:24.602882 | idioma: en | pergunta: leão | voucher: ZOO72017
2026-05-16 23:42:28.168315 | idioma: en | pergunta: tigre | voucher: ZOO85686
2026-05-17 00:36:28.266518 | idioma: pt | pergunta: girafa | voucher: ZOO56349
2026-05-17 00:36:30.786949 | idioma: pt | pergunta: leão | voucher: ZOO39763
2026-05-17 00:36:32.519858 | idioma: pt | pergunta: elefante | voucher: ZOO09050
2026-05-17 00:36:34.186931 | idioma: pt | pergunta: tigre | voucher: ZOO99160
2026-05-17 00:36:43.222139 | idioma: en | pergunta: zebra | voucher: ZOO26741
2026-05-17 00:36:45.489550 | idioma: en | pergunta: tigre | voucher: ZOO06932
2026-05-17 00:36:48.851839 | idioma: en | pergunta: arara | voucher: ZOO12605
2026-05-17 00:36:50.418915 | idioma: en | pergunta: girafa | voucher: ZOO02489
2026-05-17 00:38:10.042792 | idioma: en | pergunta: girafa | voucher: ZOO23399
